game_id,game_name,game_web,platform,wii,ps3,xbox360,critic_score,critic_score1,critic_score2,critic_score3,wii_score,ps3_score,xbox360_score,Check
611671,The Cursed Crusade,/ps3/611671-the-cursed-crusade,ps3,0,1,0,45,45,39,,,45,39,1
611715,Crescent Pale Mist,/ps3/611715-crescent-pale-mist,ps3,0,1,0,52,52,,,,52,,1
611752,Tiny Token Empires,/ps3/611752-tiny-token-empires,ps3,0,1,0,64,64,,,,64,,1
611772,The Splatters,/xbox360/611772-the-splatters,xbox360,0,1,1,72,72,,,,,72,1
611852,MotoGP 10/11,/ps3/611852-motogp-10-11,ps3,0,1,0,68,72,68,,,68,72,1
611857,Bleach: Soul Resurreccion,/ps3/611857-bleach-soul-resurreccion,ps3,0,1,0,58,58,,,,58,,1
611875,Fluidity,/wii/611875-fluidity,wii,1,0,0,86,86,,,86,,,1
612072,The Fancy Pants Adventures,/ps3/612072-the-fancy-pants-adventures,ps3,0,1,0,71,71,67,,,71,67,1
612079,Marvel Pinball,/ps3/612079-marvel-pinball,ps3,0,1,0,83,83,,,,83,,1
612081,Jonah Lomu Rugby Challenge,/xbox360/612081-jonah-lomu-rugby-challenge,xbox360,0,1,1,73,73,,,,64,73,1
612198,Funky Lab Rat,/ps3/612198-funky-lab-rat,ps3,0,1,0,73,73,,,,73,,1
612200,Major League Baseball 2K11,/ps3/612200-major-league-baseball-2k11,ps3,1,1,0,72,72,69,,,72,69,1
612230,Yar's Revenge,/xbox360/612230-yars-revenge,xbox360,0,1,1,55,63,55,,,63,55,1
612240,Tetris,/ps3/612240-tetris,ps3,0,1,0,,,,,,80,,1
612247,LEGO Pirates of the Caribbean: The Video Game,/wii/612247-lego-pirates-of-the-caribbean-the-video-game,wii,1,1,0,73,73,73,73,73,73,73,1
612410,Sackboy's Prehistoric Moves,/ps3/612410-sackboys-prehistoric-moves,ps3,0,1,0,66,66,,,,66,,1
614177,Trouble Witches Neo!,/xbox360/614177-trouble-witches-neo,xbox360,0,0,1,69,69,,,,,69,1
614182,Stacking,/xbox360/614182-stacking,xbox360,0,1,1,84,84,83,,,83,84,1
