game_id,game_name,genre1,genre2,genre3,genre4,genre_wide,genre_narrow,release_day,release_month,release_year
939069,Rocketmen: Axis of Evil,Action,Shooter,First-Person,Arcade,action,action-shooter,6,3,2008
928518,Super Smash Bros. Brawl,Action,Fighting,2D,,action,action-fighting,9,3,2008
944440,Karaoke Revolution Presents: American Idol Encore,Action,Rhythm,Music,,action,action-rhythm,18,3,2008
942010,George of the Jungle and the Search for the Secret,Action,Platformer,2D,,action,action-platformer,18,3,2008
944073,Tom Clancy's Rainbow Six Vegas 2,Action,Shooter,First-Person,Tactical,action,action-shooter,18,3,2008
928149,Dark Sector,Action,Shooter,Third-Person,Arcade,action,action-shooter,25,3,2008
943282,Ikaruga,Action,Shooter,Shoot-'Em-Up,Vertical,action,action-shooter,9,4,2008
944611,Samurai Warriors 2: Xtreme Legends,Action,Beat-'Em-Up,3D,,action,action-beatemup,16,4,2008
936562,Battlezone,Action,General,,,action,action-general,16,4,2008
944653,Battle of the Bands,Action,Rhythm,Music,,action,action-rhythm,21,4,2008
944446,Target: Terror,Action,Shooter,Light Gun,,action,action-shooter,22,4,2008
943752,Heavenly Guardian,Action,Shooter,Shoot-'Em-Up,Top-Down,action,action-shooter,22,4,2008
943989,Dream Pinball 3D,Action,Pinball,,,action,action-pinball,22,4,2008
936559,Iron Man,Action,General,,,action,action-general,2,5,2008
945044,LostWinds,Action,Platformer,2D,,action,action-platformer,12,5,2008
943037,Castle of Shikigami III,Action,Shooter,Shoot-'Em-Up,Vertical,action,action-shooter,13,5,2008
945399,Assault Heroes 2,Action,Shooter,Shoot-'Em-Up,Vertical,action,action-shooter,14,5,2008
943666,Star Soldier R,Action,Shooter,Shoot-'Em-Up,Vertical,action,action-shooter,19,5,2008
932947,SingStar,Action,Rhythm,Music,,action,action-rhythm,20,5,2008
933103,Haze,Action,Shooter,First-Person,Arcade,action,action-shooter,20,5,2008
944975,Death Jr.: Root of Evil,Action,Platformer,3D,,action,action-platformer,27,5,2008
938348,Enemy Territory: Quake Wars,Action,Shooter,First-Person,Arcade,action,action-shooter,27,5,2008
936566,Warlords (2008),Action,General,,,action,action-general,28,5,2008
939219,The Monkey King: The Legend Begins,Action,Shooter,Shoot-'Em-Up,Horizontal,action,action-shooter,30,5,2008
946172,Protothea,Action,Shooter,Shoot-'Em-Up,Vertical,action,action-shooter,2,6,2008
945167,Kung Fu Panda,Action,Platformer,3D,,action,action-platformer,3,6,2008
941631,Robert Ludlum's The Bourne Conspiracy,Action,General,,,action,action-general,3,6,2008
945168,DreamWorks Kung Fu Panda,Action,Platformer,3D,,action,action-platformer,3,6,2008
943663,Aces of the Galaxy,Action,Shooter,Third-Person,Arcade,action,action-shooter,4,6,2008
944984,The Incredible Hulk,Action,General,,,action,action-general,5,6,2008
945095,Novastrike,Action,Shooter,Shoot-'Em-Up,Vertical,action,action-shooter,5,6,2008
944315,Dragon Ball Z: Burst Limit,Action,Fighting,3D,,action,action-fighting,10,6,2008
946847,Frogger 2,Action,General,,,action,action-general,11,6,2008
941651,"""Blast Works: Build, Trade, Destroy""",Action,Shooter,Shoot-'Em-Up,Horizontal,action,action-shooter,11,6,2008
949392,Gyrostarr,Action,Shooter,Shoot-'Em-Up,Top-Down,action,action-shooter,23,6,2008
935085,Battlefield: Bad Company,Action,Shooter,First-Person,Arcade,action,action-shooter,23,6,2008
944412,WALL-E,Action,Platformer,3D,,action,action-platformer,24,6,2008
944229,Myth Makers: Trixie in Toyland,Action,Platformer,3D,,action,action-platformer,24,6,2008
943724,Wolf of the Battlefield: Commando 3,Action,General,,,action,action-general,25,6,2008
939448,Happy Tree Friends: False Alarm,Action,General,,,action,action-general,25,6,2008
944964,Guitar Hero: Aerosmith,Action,Rhythm,Music,,action,action-rhythm,29,6,2008
945861,SoulCalibur,Action,Fighting,3D,,action,action-fighting,2,7,2008
928301,Unreal Tournament III,Action,Shooter,First-Person,Arcade,action,action-shooter,7,7,2008
938534,Schizoid,Action,General,,,action,action-general,9,7,2008
945135,Major League Eating: The Game,Action,General,,,action,action-general,14,7,2008
944716,Space Chimps,Action,Platformer,3D,,action,action-platformer,15,7,2008
942088,Elefunk,Action,Platformer,2D,,action,action-platformer,17,7,2008
946415,Pirates: The Key of Dreams,Action,General,,,action,action-general,21,7,2008
945395,1942: Joint Strike,Action,Shooter,Shoot-'Em-Up,Vertical,action,action-shooter,23,7,2008
945047,Go! Go! Break Steady,Action,Rhythm,Music,,action,action-rhythm,23,7,2008
940048,SoulCalibur IV,Action,Fighting,3D,,action,action-fighting,29,7,2008
950901,Geometry Wars: Retro Evolved 2,Action,Shooter,Shoot-'Em-Up,Top-Down,action,action-shooter,30,7,2008
945010,PixelJunk Eden,Action,Platformer,2D,,action,action-platformer,31,7,2008
951884,Wild West Guns,Action,Shooter,Light Gun,,action,action-shooter,4,8,2008
943284,Braid,Action,Platformer,2D,,action,action-platformer,6,8,2008
944602,Bionic Commando Rearmed,Action,Platformer,2D,,action,action-platformer,13,8,2008
950904,Galaga Legions,Action,Shooter,Shoot-'Em-Up,Vertical,action,action-shooter,20,8,2008
950926,Ratchet & Clank Future: Quest for Booty,Action,Platformer,3D,,action,action-platformer,21,8,2008
952602,Helix,Action,Rhythm,Dancing,,action,action-rhythm,25,8,2008
934458,Castle Crashers,Action,Beat-'Em-Up,2D,,action,action-beatemup,27,8,2008
944114,Shred Nebula,Action,Shooter,Shoot-'Em-Up,Vertical,action,action-shooter,3,9,2008
943402,Samurai Shodown II,Action,Fighting,2D,,action,action-fighting,10,9,2008
946371,Dance Dance Revolution: Hottest Party 2,Action,Rhythm,Dancing,,action,action-rhythm,12,9,2008
949926,Rock Band 2,Action,Rhythm,Music,,action,action-rhythm,14,9,2008
933155,Star Wars: The Force Unleashed,Action,Shooter,Third-Person,Arcade,action,action-shooter,16,9,2008
954090,Igor the Game,Action,General,,,action,action-general,19,9,2008
941981,de Blob,Action,Platformer,3D,,action,action-platformer,22,9,2008
946578,Wario Land: Shake It!,Action,Platformer,2D,,action,action-platformer,22,9,2008
942898,Brothers in Arms: Double Time,Action,Shooter,First-Person,Arcade,action,action-shooter,23,9,2008
930277,Brothers in Arms: Hell's Highway,Action,Shooter,First-Person,Arcade,action,action-shooter,23,9,2008
943427,Samba de Amigo,Action,Rhythm,Music,,action,action-rhythm,23,9,2008
946499,Warriors Orochi 2,Action,Beat-'Em-Up,3D,,action,action-beatemup,23,9,2008
944795,Duke Nukem 3D,Action,Shooter,First-Person,Arcade,action,action-shooter,24,9,2008
950953,Mega Man 9,Action,Platformer,2D,,action,action-platformer,25,9,2008
945855,We Cheer,Action,Rhythm,Dancing,,action,action-rhythm,30,9,2008
941825,War World,Action,Shooter,Third-Person,Arcade,action,action-shooter,1,10,2008
939322,Fracture,Action,Shooter,Third-Person,Arcade,action,action-shooter,7,10,2008
945947,Crash: Mind Over Mutant,Action,Platformer,3D,,action,action-platformer,7,10,2008
954408,Beat'n Groovy,Action,Rhythm,Music,,action,action-rhythm,8,10,2008
954469,Shadow Assault -Tenchu-,Action,General,,,action,action-general,8,10,2008
946406,Linger in Shadows,Action,General,,,action,action-general,9,10,2008
952259,Supersonic Acrobatic Rocket-Powered Battle-Cars,Action,General,,,action,action-general,9,10,2008
951610,Army Men: Soldiers of Misfortune,Action,Shooter,Third-Person,Arcade,action,action-shooter,10,10,2008
946169,Tak and the Guardians of Gross,Action,General,,,action,action-general,13,10,2008
946516,Bratz: Girlz Really Rock,Action,General,,,action,action-general,13,10,2008
943339,Dead Space,Action,Shooter,Third-Person,Arcade,action,action-shooter,13,10,2008
939539,SOCOM: U.S. Navy SEALs Confrontation,Action,Shooter,Third-Person,Arcade,action,action-shooter,14,10,2008
933095,Golden Axe: Beast Rider,Action,General,,,action,action-general,14,10,2008
946368,Rock Revolution,Action,Rhythm,Music,,action,action-rhythm,15,10,2008
952156,Crazy Mouse,Action,General,,,action,action-general,15,10,2008
946161,Rock University Presents: The Naked Brothers Band The Video Game,Action,Rhythm,Music,,action,action-rhythm,20,10,2008
950924,Wii Music,Action,Rhythm,Music,,action,action-rhythm,20,10,2008
946166,SpongeBob SquarePants featuring Nicktoons: Globs of Doom,Action,General,,,action,action-general,20,10,2008
946570,Naruto: Clash of Ninja Revolution 2,Action,Fighting,3D,,action,action-fighting,21,10,2008
945885,Spider-Man: Web of Shadows,Action,General,,,action,action-general,21,10,2008
944401,Far Cry 2,Action,Shooter,First-Person,Arcade,action,action-shooter,21,10,2008
952846,Disney Sing It,Action,Rhythm,Music,,action,action-rhythm,21,10,2008
946372,Dance Dance Revolution Universe 3,Action,Rhythm,Dancing,,action,action-rhythm,21,10,2008
945951,The Legend of Spyro: Dawn of the Dragon,Action,Platformer,3D,,action,action-platformer,21,10,2008
949715,High School Musical 3: Senior Year DANCE!,Action,Rhythm,Dancing,,action,action-rhythm,21,10,2008
